,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
157,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Sahabyah (السحابية),26.296752326843198,50.21313915929612,IT Services
158,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,مطعم عندق الخبر,26.292655,50.216943,Fishing Store
159,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,BEST WESTERN PLUS Sand Rose Suit,26.29497045805262,50.21847378802964,Hotel
160,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,AlMana Pharmacy,26.29388813923056,50.2178967769727,Pharmacy
161,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Nehari House Restaurant,26.2947099446129,50.209442957753396,Pakistani Restaurant
162,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,MISHWAR (مشوار),26.293946861581,50.209739651376104,Middle Eastern Restaurant
163,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Outpatient Pharmacy,26.294062,50.218427,Pharmacy
164,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Melonation CK,26.297276,50.211719,Kitchen Supply Store
165,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,خياط المتميز,26.29781491570805,50.21296817360271,Tailor Shop
166,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,The Needle's Art (فن الإبرة),26.294703916599055,50.2050518989563,Gift Shop
167,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,قرية الزيتون,26.293543,50.203966,Organic Grocery
168,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Bloomax flower,26.297093808183586,50.205133930513895,Flower Shop
169,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Al Banoosh (مطعم البانوش),26.29181658564873,50.20724994542645,Seafood Restaurant
170,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Panda (بنده),26.295822987406,50.204515658356215,Grocery Store
171,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,فوال القادسية,26.295299434784567,50.20230447961968,African Restaurant
172,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Hasseer Drive Thru حصير درايف ثرو,26.292282,50.20733,Coffee Shop
173,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,McDonald's (ماكدونالدز),26.29417129400793,50.20762151357801,Fast Food Restaurant
174,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Paradise Gardens (جنة الحدائق),26.294537,50.206356,Flower Shop
175,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,الكروان الابيض للحيوانات,26.295032753703115,50.20378210635236,Pet Store
176,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Al Gidr Al Khaliji (الجدر الخليجي),26.291154703639158,50.20242498877537,Theme Restaurant
177,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,شرنبي,26.295312,50.200794,Middle Eastern Restaurant
178,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Dar Almakan Cafe,26.295240075502424,50.201303290791856,Café
179,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,10th Street GYM,26.290457325762972,50.206376044425824,Gym / Fitness Center
180,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Starbucks,26.297816860848357,50.208105340024474,Coffee Shop
181,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Al Qadisiya Club,26.293897945806016,50.20247861540027,Stadium
182,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,البانوش,26.291596,50.207216,Seafood Restaurant
183,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Calamari كالاماري,26.2954242466706,50.20101996527152,Seafood Restaurant
184,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,خياط الفرسان,26.290481933596435,50.20721848735154,Clothing Store
185,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,نادي القادسية,26.29430316213638,50.20239816555243,Athletics & Sports
186,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,مـلبس السلطـان | Al-Sultan Tailor,26.290769083315965,50.207185116294355,Tailor Shop
187,Madinat Al Ummal Dist.,26.294228553913037,50.205489442898546,Shrinpy,26.295574,50.201034,Shawarma Place
188,Al Aqrabiyah Dist.,26.297885457971017,50.189789413188414,Al Saada Buffia (بوفية السعادة),26.29828624719465,50.188608574241904,Breakfast Spot
189,Al Aqrabiyah Dist.,26.297885457971017,50.189789413188414,Starbucks (ستاربكس),26.299474,50.188823,Coffee Shop
190,Al Aqrabiyah Dist.,26.297885457971017,50.189789413188414,BASK (باسك),26.29624,50.191359,Sandwich Place
191,Al Aqrabiyah Dist.,26.297885457971017,50.189789413188414,Latif Pastry (لطيف للمعجنات),26.29665894447436,50.19235977234347,Pastry Shop
192,Al Aqrabiyah Dist.,26.297885457971017,50.189789413188414,Juice World (عالم العصيرات),26.30057193314051,50.18912930498769,Juice Bar
